state,lottery_announce_date,notes,sources
 AL,,,
 AK,,,
 AZ,,,
 AR,5/25/21,"Offering scratch its with 1 mil grand prize and hunting licenses, only for those getting vaccinated june 1 or later",https://www.kasu.org/2021-05-26/arkansas-will-offer-lottery-tickets-and-gift-certificates-for-vaccinations
 CA,5/28/21,"10 drawings of 1.5 mil grand prize, anyone who has been or gets vaccinated",https://www.latimes.com/california/story/2021-05-28/how-california-covid-19-vaccine-lottery-works
 CO,5/25/21,"all residents who have been vaxed, multiple 1 mil draws",https://www.fox21news.com/health/coronavirus/gov-polis-gives-update-on-covid-response-vaccine-lottery/
 CT,,,https://observer.com/2021/05/covid-vaccine-lottery-prize-freebie-state-restaurants-flights/
 DE,5/25/21,Grand prize 302k,https://www.newarkpostonline.com/news/delaware-announces-lottery-prizes-to-incentivize-vaccination/article_8f3d78d8-ab60-5672-b927-180f77575409.html
 DC,,,
 FL,,,
 GA,,,
 HI,,No cash grand prize,https://www.khon2.com/coronavirus/gov-david-ige-expected-to-make-major-announcements-on-vaccination-incentives-and-travel-goals/
 ID,,,
 IL,6/17/21,"1 mil grand prize, anyone who gets their first dose before July 1",https://www.nbcchicago.com/news/local/illinois-offering-10m-in-lottery-for-residents-who-get-covid-vaccine/2535011/
 IN,,,
 IA,,,
 KS,,No cash grand prize,https://www.ksn.com/news/health/coronavirus/coronavirus-in-kansas/kansas-eying-more-vaccine-incentives-heres-what-you-need-to-know/
 KY,6/4/21,3 1 mil drawings for anyone vaccinated. Starting on May 10th people were given tickets to cashball game when getting vaccinated,"https://www.wdrb.com/news/kentucky-announces-vaccine-lottery-with-1-million-prizes-scholarship-opportunities/article_28f8d422-c558-11eb-879e-57b95f3f1e88.html, https://www.courier-journal.com/story/news/local/2021/05/10/kentucky-lottery-offers-covid-19-vaccine-incentive/5018741001/"
 LA,6/17/21,1 mil grand prize,https://gov.louisiana.gov/index.cfm/newsroom/detail/3216
 ME,6/16/21,"$1 per vaccinated person in maine, single dose eligible","https://govstatus.egov.com/me-sweepstakes-rules, https://www.mainepublic.org/health/2021-06-16/mills-announces-vaccination-lottery-that-will-reward-one-lucky-mainer-with-nearly-1m"
 MD,5/20/21,"40k per day, 1 400k grand prize",https://baltimore.cbslocal.com/2021/05/21/governor-larry-hogan-announces-vaccine-lottery/
 MA,6/15/21,"5 1 mill prizes, only for fully vaccinated",https://www.mass.gov/news/commonwealth-launches-mass-vaxmillions-vaccine-lottery-program
 MI,6/30/21,"50k per day, grand prize of 2 mil",https://www.freep.com/story/news/local/michigan/2021/07/01/michigan-covid-19-vaccine-lottery-sweepstakes-gretchen-whitmer/7821384002/
 MN,,,
 MS,,,
 MO,,,
 MT,,,
 NE,,,
 NV,6/16/21,1 mil grand prize,https://thenevadaindependent.com/article/the-vaccine-lottery-is-probably-less-dumb-than-it-sounds
 NH,,,
 NJ,,,
 NM,6/1/21,250k grand prize multiple winners,https://www.tax.newmexico.gov/wp-content/uploads/2021/06/Vaccine-lottery.pdf
 NY,5/20/21,"Free tickets to those who get vaccinated at preapproved sites, grand prize 20 million. Inititially limited to people who got vaccinated between May 24 and 28","https://www.governor.ny.gov/news/governor-cuomo-announces-vax-and-scratch-program-be-extended-new-sites-next-week, https://www.msn.com/en-us/news/us/new-york-to-reward-vaccinations-with-lottery-tickets/ar-AAKcpBW"
 NC,6/10/21,Multiple 1 mil,"https://carolinapublicpress.org/46472/nc-has-a-vaccine-lottery-with-million-dollar-prizes-and-college-money/, https://abc11.com/covid-vaccine-lottery-nc/10822979/"
 ND,,,
 OH,5/13/21,"weekly 1 mil prize draws, anyone who is vaccinated",https://www.cbsnews.com/news/ohio-lottery-covid-vaccine/
 OK,,,
 OR,5/21/21,"1 1 mil prize, lots of smaller ones, anyone with at least one dose",https://www.opb.org/article/2021/05/21/oregon-covid-19-lottery-briefing/
 PA,,,
 RI,,,https://apnews.com/article/rhode-island-philanthropy-coronavirus-pandemic-health-da9f1bf5f8c46ebfe51814661cacc55f
 SC,,,https://www.wspa.com/news/top-stories/sc-lawmaker-proposes-vaccine-lottery-as-incentive-for-people-to-get-their-shots/
 SD,,,
 TN,,,
 TX,,,
 UT,,,
 VT,,,
 VA,,,
 WA,6/3/21,"1 mil grand prize, multiple smaller",https://www.seattletimes.com/seattle-news/health/inslee-more-than-2-million-in-prizes-for-washington-residents-getting-their-covid-19-vaccine/?utm_source=marketingcloud&utm_medium=email&utm_campaign=BNA_060321213658+BREAKING+Washington+to+give+away+more+than+%242+million+in+prizes+for+residents+getti_6_3_2021&utm_term=
 WV,6/1/21,"1.6 mil grand prize, guns and trucks as other prizes, previously was offering $100 gift card/savings bonds","https://www.cbsnews.com/news/west-virginia-vaccine-lottery-guns-trucks-cash/, https://wfin.com/abc-politics/west-virginias-covid-19-vaccine-incentive-lottery-to-includes-guns-trucks-cash-prizes/"
 WI,,,
 WY,,,
