submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/25/2021,NE,187923,NA,NA,646,0,1894,NA,NA,15,0,01/27/2021 12:00:00 AM,Not agree,Not agree
01/25/2020,OR,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
07/23/2020,KY,25147,23882,1265,607,61,684,680,4,7,0,07/24/2020 02:18:40 PM,Agree,Agree
02/01/2021,DC,37008,NA,NA,136,0,916,NA,NA,3,0,02/02/2021 02:51:51 PM,NA,NA
05/11/2021,NJ,1008607,881171,127436,561,25,25841,23201,2640,31,0,05/12/2021 02:33:56 PM,Agree,Agree
02/02/2021,IL,1130917,1130917,0,2304,0,21336,19306,2030,63,16,02/03/2021 02:55:58 PM,Agree,Agree
07/30/2020,ME,3910,3497,413,22,2,123,122,1,2,0,07/31/2020 02:35:06 PM,Agree,Agree
02/05/2020,KY,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Agree,Agree
07/04/2020,VT,1238,NA,NA,0,0,56,NA,NA,0,0,07/05/2020 03:00:14 PM,Not agree,Not agree
02/10/2020,MN,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,N/A,Agree
04/30/2020,KY,4708,4708,0,169,0,240,240,0,5,0,05/01/2020 09:00:19 PM,Agree,Agree
06/19/2021,CA,3701739,NA,NA,1142,0,62565,NA,NA,0,0,06/18/2021 01:48:26 PM,Not agree,Not agree
02/02/2020,GU,0,NA,NA,0,NA,0,NA,NA,0,NA,03/26/2020 04:22:39 PM,Not agree,Not agree
08/10/2020,OR,21488,21488,0,216,0,357,357,0,1,0,08/11/2020 02:16:27 PM,Agree,Agree
05/15/2020,CT,36085,34059,2026,621,-11,3285,2524,761,66,8,05/16/2020 03:46:44 PM,Agree,Agree
04/07/2021,KY,430860,327377,103483,1019,470,6198,5607,591,10,1,04/08/2021 01:46:50 PM,Agree,Agree
05/31/2021,NV,324132,NA,NA,128,0,5586,NA,NA,0,0,06/01/2021 03:18:33 PM,NA,NA
03/22/2021,MI,746624,674109,72515,5785,846,17041,16021,1020,18,1,03/24/2021 12:00:00 AM,Agree,Agree
06/09/2021,ND,110351,101268,9083,53,16,1517,NA,NA,0,0,06/10/2021 02:48:23 PM,Agree,Not agree
05/11/2020,CT,33765,31955,1810,211,-30,3008,2294,714,41,-10,05/12/2020 05:26:08 PM,Agree,Agree
07/12/2020,CA,411109,NA,NA,11452,0,8138,NA,NA,115,0,07/12/2020 12:00:00 AM,Not agree,Not agree
