fips,state_abb,pop_density,pct_under_18,pct_18_64,pct_65_over,pct_white,pct_black,pct_amer_indian,pct_asian,pct_pacific_islander,pct_other_race,pct_two_or_more_races,pct_hispanic,pct_not_hs,pct_bachelors_deg,med_household_income,pct_in_poverty,repub_vote_share_2020,flu_vaccination_rate_2019
1, AL,99.2,22.1,60.5,17.4,67.8,26.9,0.5,1.3,0.0,1.5,1.9,4.5,12.900000000000006,26.3,51734.0,15.5,62.03,41.0
2, AK,1.3,24.6,63.0,12.4,64.2,3.1,15.8,6.0,1.4,1.7,7.9,7.2,6.400000000000006,30.2,75463.0,10.1,52.83,37.0
4, AZ,62.9,22.5,59.5,18.0,78.3,4.7,4.6,3.3,0.2,5.0,3.9,31.7,12.400000000000006,30.2,62055.0,13.5,49.06,47.0
5, AR,57.9,23.2,59.4,17.4,76.7,15.5,0.6,1.5,0.4,2.5,2.8,7.7,12.5,23.3,48952.0,16.2,62.4,47.0
6, CA,253.7,22.5,62.7,14.8,59.4,5.8,0.8,14.8,0.4,13.7,5.0,39.4,16.0,35.0,80440.0,11.8,34.32,43.0
8, CO,55.7,21.8,63.5,14.7,83.7,4.2,1.0,3.3,0.1,3.6,4.0,21.8,7.599999999999994,42.7,77127.0,9.3,41.6,48.0
9, CT,744.7,20.4,62.0,17.6,74.6,11.1,0.3,4.7,0.0,5.6,3.7,16.9,9.299999999999997,39.8,78833.0,10.0,39.19,55.0
10, DE,508.0,20.9,59.6,19.5,67.7,22.5,0.4,3.8,0.0,2.4,3.1,9.6,9.700000000000003,33.2,70176.0,11.3,39.77,56.0
11, DC,11280.0,18.1,69.5,12.4,42.5,45.4,0.3,4.1,0.0,4.4,3.3,11.3,8.099999999999994,59.7,92266.0,13.5,5.4,40.0
12, FL,401.4,19.7,59.4,20.9,74.5,16.0,0.3,2.8,0.1,3.4,2.9,26.4,11.599999999999994,30.7,59227.0,12.7,51.22,47.0
13, GA,185.6,23.6,62.1,14.3,57.8,31.9,0.4,4.1,0.1,3.0,2.7,9.8,12.099999999999994,32.5,61980.0,13.3,49.24,45.0
15, HI,226.6,21.2,59.8,19.0,24.1,1.9,0.4,38.7,10.8,1.7,22.4,10.7,7.599999999999994,33.6,83102.0,9.3,33.95,45.0
16, ID,22.3,25.1,58.7,16.2,89.4,0.7,1.3,1.5,0.1,3.8,3.3,12.8,8.5,28.7,60999.0,11.2,63.84,43.0
17, IL,230.8,22.2,61.7,16.1,71.4,14.1,0.3,5.7,0.0,5.8,2.8,17.5,10.200000000000003,35.8,69187.0,11.5,40.55,49.0
18, IN,189.4,23.3,60.6,16.1,82.8,9.6,0.3,2.5,0.0,2.2,2.6,7.2,10.400000000000006,26.9,57603.0,11.9,57.02,52.0
19, IA,57.1,22.9,59.6,17.5,89.9,4.1,0.4,2.4,0.1,1.0,2.2,6.3,7.400000000000006,29.3,61691.0,11.2,52.8,55.0
20, KS,35.9,24.0,59.6,16.4,83.6,5.7,0.8,3.0,0.1,3.0,3.7,12.2,8.200000000000003,34.0,62087.0,11.4,56.21,49.0
21, KY,114.1,22.4,60.7,16.9,86.7,8.1,0.2,1.6,0.1,0.9,2.3,3.8,12.799999999999997,25.1,52295.0,16.3,62.09,44.0
22, LA,107.8,23.3,60.7,16.0,61.8,32.4,0.6,1.8,0.0,1.4,2.0,5.4,14.0,25.0,51073.0,19.0,58.46,43.0
23, ME,44.2,18.3,60.4,21.3,94.0,1.6,0.7,1.1,0.0,0.4,2.1,1.7,6.799999999999997,33.2,58924.0,10.9,43.55,45.0
24, MD,636.1,22.0,62.1,15.9,54.5,30.3,0.3,6.4,0.0,5.1,3.4,10.6,9.599999999999994,40.9,86738.0,9.0,32.15,52.0
25, MA,901.2,19.6,63.4,17.0,77.0,7.9,0.3,6.9,0.0,4.3,3.6,12.4,8.700000000000003,45.0,85843.0,9.4,31.91,55.0
26, MI,178.0,21.5,60.8,17.7,78.2,13.7,0.6,3.3,0.0,1.1,3.0,5.3,8.599999999999994,30.0,59584.0,13.0,47.84,46.0
27, MN,71.7,23.1,60.6,16.3,82.1,6.6,1.0,5.1,0.0,1.9,3.3,5.6,6.400000000000006,37.3,74593.0,9.0,45.28,54.0
28, MS,63.1,23.5,60.1,16.4,58.0,38.0,0.5,1.0,0.0,1.0,1.5,3.0,14.700000000000003,22.3,45792.0,19.6,57.6,42.0
29, MO,89.5,22.4,60.4,17.2,81.8,11.5,0.4,2.1,0.2,1.2,2.8,4.3,9.299999999999997,30.2,57409.0,12.9,56.8,47.0
30, MT,7.4,21.2,59.3,19.5,88.0,0.7,6.3,0.8,0.0,0.7,3.4,3.8,5.799999999999997,33.6,57153.0,12.6,56.92,43.0
31, NE,25.5,24.6,59.3,16.1,86.2,4.9,1.0,2.5,0.1,2.6,2.8,11.3,8.0,33.2,63229.0,9.9,58.22,52.0
32, NV,28.3,22.4,61.4,16.2,64.6,9.6,1.4,8.5,0.7,10.5,4.7,29.2,13.099999999999994,25.7,63276.0,12.5,47.67,39.0
33, NH,153.8,18.8,62.6,18.6,92.6,1.6,0.1,2.6,0.1,0.8,2.2,4.0,6.700000000000003,37.6,77933.0,7.3,45.36,52.0
34, NJ,1263.0,21.8,61.6,16.6,67.1,13.6,0.2,9.6,0.0,6.4,3.0,20.9,9.700000000000003,41.2,85751.0,9.2,41.4,52.0
