fips,state_abb,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
1, AL,2021-01-01,-44.0,-30.0,-16.0,-46.0,-72.0,26.0
1, AL,2021-01-02,-19.0,-8.0,-2.0,-8.0,-19.0,7.0
1, AL,2021-01-03,-16.0,-8.0,-7.0,-1.0,-17.0,6.0
1, AL,2021-01-04,-5.0,2.0,-9.0,-9.0,-26.0,8.0
1, AL,2021-01-05,-10.0,-1.0,-14.0,-12.0,-25.0,8.0
1, AL,2021-01-06,-10.0,-3.0,-13.0,-12.0,-25.0,9.0
1, AL,2021-01-07,-20.0,-7.0,-35.0,-20.0,-25.0,11.0
1, AL,2021-01-08,-18.0,-10.0,-29.0,-19.0,-24.0,11.0
1, AL,2021-01-09,-16.0,-6.0,-27.0,-14.0,-9.0,6.0
1, AL,2021-01-10,-15.0,-5.0,-22.0,-15.0,-16.0,6.0
1, AL,2021-01-11,-17.0,-5.0,-35.0,-22.0,-26.0,11.0
1, AL,2021-01-12,-15.0,-7.0,-25.0,-15.0,-24.0,9.0
1, AL,2021-01-13,-13.0,-6.0,-18.0,-14.0,-24.0,8.0
1, AL,2021-01-14,-17.0,-7.0,-17.0,-15.0,-24.0,8.0
1, AL,2021-01-15,-18.0,-12.0,-16.0,-17.0,-24.0,9.0
1, AL,2021-01-16,-19.0,-10.0,-15.0,-18.0,-11.0,5.0
1, AL,2021-01-17,-19.0,-10.0,-7.0,-17.0,-19.0,5.0
1, AL,2021-01-18,-14.0,-9.0,-4.0,-17.0,-43.0,12.0
1, AL,2021-01-19,-19.0,-9.0,-18.0,-16.0,-23.0,8.0
1, AL,2021-01-20,-16.0,-10.0,-10.0,-15.0,-24.0,8.0
1, AL,2021-01-21,-21.0,-10.0,-29.0,-19.0,-23.0,10.0
1, AL,2021-01-22,-20.0,-14.0,-22.0,-19.0,-22.0,10.0
1, AL,2021-01-23,-18.0,-9.0,4.0,-16.0,-8.0,4.0
1, AL,2021-01-24,-21.0,-11.0,-9.0,-20.0,-16.0,5.0
1, AL,2021-01-25,-20.0,-11.0,-16.0,-18.0,-23.0,8.0
1, AL,2021-01-26,-18.0,-10.0,-12.0,-16.0,-22.0,8.0
